,year,state_code,state,abs_gross_drain,abs_gross_gain,abs_net_drain,rel_gross_drain,rel_gross_gain,rel_net_drain,outmigration_rate,abs_stayers,abs_leavers,abs_entrants,rel_stayers,rel_leavers,rel_entrants
407,2017,CO,Colorado,11.68,15.9,-4.22,12.28,20.08,-7.8,41.8,29.71,41.39,45.61,26.86,39.14,46.94
408,2017,CT,Connecticut,16.1,14.63,1.47,17.04,22.19,-5.15,44.74,35.54,51.64,50.17,24.44,41.48,46.63
409,2017,DE,Delaware,23.74,6.54,17.2,22.66,6.6,16.06,46.02,23.14,46.88,29.68,21.81,44.47,28.41
410,2017,FL,Florida,12.99,9.26,3.73,15.09,5.02,10.07,34.32,23.47,36.46,32.73,26.81,41.9,31.83
411,2017,GA,Georgia,14.71,15.77,-1.06,18.45,12.97,5.48,27.2,22.17,36.88,37.94,26.99,45.44,39.96
412,2017,HI,Hawaii,5.28,6.84,-1.56,6.44,6.78,-0.34,47.99,26.6,31.88,33.44,29.02,35.46,35.8
413,2017,ID,Idaho,15.41,3.41,12,16.17,2.86,13.31,46.11,21.67,37.08,25.08,24.62,40.79,27.48
414,2017,IL,Illinois,8.25,18.61,-10.36,8.71,21.16,-12.45,39.3,31.81,40.06,50.42,28.59,37.3,49.75
415,2017,IN,Indiana,17.77,7.32,10.45,18.24,6.3,11.94,32.14,24.89,42.66,32.21,26.14,44.38,32.44
416,2017,IA,Iowa,16.76,2.47,14.29,18.05,6.9,11.15,39.63,31.29,48.05,33.76,24.86,42.91,31.76
417,2017,KS,Kansas,9.5,2.02,7.48,10.11,7.39,2.72,44.98,32.17,41.67,34.19,27.47,37.58,34.86
418,2017,KY,Kentucky,16.36,8.6,7.76,19.47,7.12,12.35,32.02,22.9,39.26,31.5,25.78,45.25,32.9
419,2017,LA,Louisiana,13.71,11.27,2.44,15.93,8.38,7.55,33.7,22.5,36.21,33.77,26.6,42.53,34.98
420,2017,ME,Maine,12.37,16.13,-3.76,12.3,4.85,7.45,43.06,24.47,36.84,40.6,26.77,39.07,31.62
421,2017,MD,Maryland,11.79,21.9,-10.11,11.49,21.24,-9.75,41.8,30.69,42.48,52.59,27.2,38.69,48.44
422,2017,MA,Massachusetts,8.79,25.2,-16.41,10.85,32.75,-21.9,39.19,39.05,47.84,64.25,27.75,38.6,60.5
423,2017,MI,Michigan,18.9,9.48,9.42,18.81,10.87,7.94,32.56,26.52,45.42,36,25.86,44.67,36.73
424,2017,MN,Minnesota,13.78,14.71,-0.93,12.68,16.86,-4.18,30.31,32.39,46.17,47.1,28.17,40.85,45.03
425,2017,MS,Mississippi,16.69,3.16,13.53,17.28,-0.19,17.47,35.63,19.35,36.04,22.51,25.87,43.15,25.68
426,2017,MO,Missouri,16.03,7.27,8.76,16.2,8.82,7.38,31.79,27.54,43.57,34.81,26.84,43.04,35.66
427,2017,MT,Montana,13.21,7.56,5.65,12.9,5.67,7.23,46,26.16,39.37,33.72,26.16,39.06,31.83
428,2017,NE,Nebraska,11.8,4.2,7.6,13.78,8.87,4.91,40.16,32.74,44.54,36.94,26.49,40.27,35.36
429,2017,NV,Nevada,7.36,-1.26,8.62,7.34,-0.72,8.06,52.02,27.64,35,26.38,28.19,35.53,27.47
430,2017,NH,New Hampshire,19.38,9.79,9.59,18.93,12.99,5.94,52.72,29.9,49.28,39.69,22.1,41.03,35.09
431,2017,NJ,New Jersey,7.84,14.43,-6.59,9.29,17.31,-8.02,45.11,36.35,44.19,50.78,27.82,37.11,45.13
432,2017,NM,New Mexico,11.99,10.47,1.52,13.5,5.86,7.64,43.5,18.75,30.74,29.22,26.14,39.64,32
433,2017,NY,New York,7.88,23.59,-15.71,7.5,29.29,-21.79,40.42,36.14,44.02,59.73,28.97,36.47,58.26
434,2017,NC,North Carolina,15.52,16.09,-0.57,16.98,13.26,3.72,27.35,24.58,40.1,40.67,27.36,44.34,40.62
435,2017,ND,North Dakota,15.56,-4.31,19.87,16.66,1.61,15.05,53.38,33.37,48.93,29.06,23.6,40.26,25.21
436,2017,OH,Ohio,19,10.45,8.55,18.93,11.78,7.15,30.94,26.83,45.83,37.28,26.14,45.07,37.92
437,2017,OK,Oklahoma,14.24,3.22,11.02,17.62,0.76,16.86,37.74,21.73,35.97,24.95,25.38,43,26.14
438,2017,OR,Oregon,7.91,11.76,-3.85,7.74,11.68,-3.94,39.52,27.33,35.24,39.09,28.95,36.69,40.63
439,2017,PA,Pennsylvania,17.99,7.7,10.29,17.45,11.98,5.47,31.89,32.28,50.27,39.98,26.47,43.92,38.45
440,2017,RI,Rhode Island,17.1,17.71,-0.61,13.95,16.62,-2.67,43.34,30.15,47.25,47.86,25.94,39.89,42.56
441,2017,SC,South Carolina,17.39,11.13,6.26,21.12,8.68,12.44,30.99,21.99,39.38,33.12,25.44,46.56,34.12
442,2017,SD,South Dakota,23.99,9.36,14.63,22.82,8.43,14.39,45.22,23.74,47.73,33.1,21.76,44.58,30.19
443,2017,TN,Tennessee,14.03,11.93,2.1,16.64,9.56,7.08,30.23,22.75,36.78,34.68,27,43.64,36.56
444,2017,TX,Texas,8.76,14.58,-5.82,10.92,11.52,-0.6,23.22,24.58,33.34,39.16,29.46,40.38,40.98
445,2017,UT,Utah,11.32,10.56,0.76,11.67,12.69,-1.02,35.98,27.18,38.5,37.74,27.82,39.49,40.51
446,2017,VT,Vermont,26.29,18.49,7.8,25.36,15.67,9.69,44.34,22.61,48.9,41.1,20.77,46.13,36.44
447,2017,VA,Virginia,13.18,19.67,-6.49,12.96,21.97,-9.01,38.36,28.97,42.15,48.64,27.02,39.98,48.99
448,2017,WA,Washington,10,13.43,-3.43,11.17,13.19,-2.02,33.15,26.12,36.12,39.55,28.31,39.48,41.5
449,2017,WV,West Virginia,12.96,2.6,10.36,18.66,-1.18,19.84,44.66,20.66,33.62,23.26,23.7,42.36,22.52
450,2017,WI,Wisconsin,20.37,9.63,10.74,20.24,11.55,8.69,31.19,29.47,49.84,39.1,25.68,45.92,37.23
451,2017,WY,Wyoming,0.07,-0.16,0.23,-0.51,-2.58,2.07,64.85,29.55,29.62,29.39,32.34,31.83,29.76
