,year,state_code,state,abs_gross_drain,abs_gross_gain,abs_net_drain,rel_gross_drain,rel_gross_gain,rel_net_drain,outmigration_rate,abs_stayers,abs_leavers,abs_entrants,rel_stayers,rel_leavers,rel_entrants
248,1980,WA,Washington,9.31,6.18,3.13,9.67,10.02,-0.35,40.94,34.56,43.87,40.74,28.04,37.71,38.06
249,1980,WV,West Virginia,7.35,17.46,-10.11,9.9,8.81,1.09,56.1,16.01,23.36,33.47,26.44,36.34,35.25
250,1980,WI,Wisconsin,21.15,15.7,5.45,21.15,15.02,6.13,32.82,25.1,46.25,40.8,25.05,46.2,40.07
251,1980,WY,Wyoming,11.77,3.2,8.57,10.67,7.23,3.44,63.97,30.75,42.52,33.95,25.18,35.85,32.41
252,1990,AL,Alabama,8.62,13.02,-4.4,8.39,10.15,-1.76,38.6,22.19,30.81,35.21,28.76,37.15,38.91
253,1990,AK,Alaska,18.67,19.69,-1.02,19.87,16.79,3.08,62.64,16.08,34.75,35.77,19.57,39.44,36.36
254,1990,AZ,Arizona,10.84,16.23,-5.39,10.7,8.01,2.69,44.04,19.71,30.55,35.94,27.29,37.99,35.3
255,1990,AR,Arkansas,8.54,7.37,1.17,9.68,0.27,9.41,47.45,18.55,27.09,25.92,27.41,37.09,27.68
256,1990,CA,California,1.39,9.04,-7.65,1.33,9.89,-8.56,26.26,33.12,34.51,42.16,31.65,32.98,41.54
257,1990,CO,Colorado,11.34,16.67,-5.33,11.27,16.28,-5.01,45.97,26.96,38.3,43.63,26.82,38.09,43.1
258,1990,CT,Connecticut,16.94,18.26,-1.32,16.19,22.17,-5.98,37.95,35.52,52.46,53.78,25.85,42.04,48.02
259,1990,DE,Delaware,23.33,15.57,7.76,23.23,15.86,7.37,45.23,23.45,46.78,39.02,21.5,44.73,37.36
260,1990,FL,Florida,11.36,8.7,2.66,12.09,5.05,7.04,36.86,25.14,36.5,33.84,27.53,39.62,32.58
261,1990,GA,Georgia,13.55,21.97,-8.42,15.22,16.17,-0.95,31.34,19.36,32.91,41.33,27.22,42.44,43.39
262,1990,HI,Hawaii,6.05,3.63,2.42,8.7,11.2,-2.5,40.08,37.18,43.23,40.81,28.51,37.21,39.71
263,1990,ID,Idaho,10.78,8.3,2.48,10.57,6.94,3.63,55.22,24.91,35.69,33.21,26.17,36.74,33.11
264,1990,IL,Illinois,13.51,11.18,2.33,13.29,16.59,-3.3,38.91,30.61,44.12,41.79,26.82,40.11,43.41
265,1990,IN,Indiana,16.79,10.81,5.98,16.75,8.35,8.4,37.62,21.62,38.41,32.43,25.69,42.44,34.04
266,1990,IA,Iowa,18.38,15.18,3.2,18.79,17.12,1.67,46.34,25.76,44.14,40.94,23.28,42.07,40.4
267,1990,KS,Kansas,9.44,10.48,-1.04,9.58,12.82,-3.24,50.66,28.53,37.97,39.01,27.15,36.73,39.97
268,1990,KY,Kentucky,11.55,15.13,-3.58,13.76,8.33,5.43,38.59,18.17,29.72,33.3,26.69,40.45,35.02
269,1990,LA,Louisiana,13.23,15.1,-1.87,14.06,11.28,2.78,33.82,19.61,32.84,34.71,27.23,41.29,38.51
270,1990,ME,Maine,13.93,21.88,-7.95,14.21,13.38,0.83,35.97,22.54,36.47,44.42,26.89,41.1,40.27
271,1990,MD,Maryland,17.71,22.73,-5.02,17.97,18.75,-0.78,35.93,23.82,41.53,46.55,25.53,43.5,44.28
272,1990,MA,Massachusetts,10.85,23.75,-12.9,11.13,29.31,-18.18,37.52,37.49,48.34,61.24,27.82,38.95,57.13
273,1990,MI,Michigan,15.22,9.04,6.18,15.04,9.77,5.27,32.13,25.74,40.96,34.78,27.16,42.2,36.93
274,1990,MN,Minnesota,15.17,17.14,-1.97,15.85,18.33,-2.48,32.56,29.53,44.7,46.67,26.83,42.68,45.16
275,1990,MS,Mississippi,4.63,8.98,-4.35,5.2,6.21,-1.01,47.4,22.05,26.68,31.03,29.53,34.73,35.74
276,1990,MO,Missouri,15.54,12.94,2.6,15.75,11.81,3.94,39.93,24.18,39.72,37.12,25.71,41.46,37.52
277,1990,MT,Montana,12.9,9.02,3.88,12.7,8.43,4.27,53.05,25.38,38.28,34.4,25.27,37.97,33.7
278,1990,NE,Nebraska,12.94,9.89,3.05,13.3,11.45,1.85,47.93,27.87,40.81,37.76,25.62,38.92,37.07
279,1990,NV,Nevada,12.18,4,8.18,13.51,0.26,13.25,56.15,20.76,32.94,24.76,24.43,37.94,24.69
280,1990,NH,New Hampshire,17.07,18.95,-1.88,17.47,12.47,5,42.32,25.25,42.32,44.2,24.62,42.09,37.09
281,1990,NJ,New Jersey,16.33,13.24,3.09,14.01,16.88,-2.87,40.42,34.31,50.64,47.55,26.33,40.34,43.21
282,1990,NM,New Mexico,13.22,21.63,-8.41,14.21,17.23,-3.02,50.56,18.97,32.19,40.6,24.81,39.02,42.04
283,1990,NY,New York,15.29,13.33,1.96,14.28,22.95,-8.67,40.56,37.06,52.35,50.39,26.2,40.48,49.15
284,1990,NC,North Carolina,12.13,16.96,-4.83,12.01,13.35,-1.34,29.95,23.27,35.4,40.23,28.39,40.4,41.74
285,1990,ND,North Dakota,8.58,6.5,2.08,10.28,11.14,-0.86,56.66,32.23,40.81,38.73,26.18,36.46,37.32
286,1990,OH,Ohio,17.35,10.98,6.37,17.26,11.52,5.74,35.37,24.08,41.43,35.06,25.89,43.15,37.41
287,1990,OK,Oklahoma,12.65,6.19,6.46,12.67,6.98,5.69,42.35,24.99,37.64,31.18,26.63,39.3,33.61
288,1990,OR,Oregon,9.65,11.5,-1.85,9.35,8.34,1.01,40.04,25.92,35.57,37.42,28.26,37.61,36.6
289,1990,PA,Pennsylvania,20.21,15.83,4.38,20.1,15.68,4.42,34.61,27.48,47.69,43.31,25.03,45.13,40.71
290,1990,RI,Rhode Island,15.01,17.11,-2.1,14.48,17.91,-3.43,43.71,32.13,47.14,49.24,25.67,40.15,43.58
291,1990,SC,South Carolina,10.15,16.06,-5.91,11.22,11.97,-0.75,35.38,21.37,31.52,37.43,28.03,39.25,40
292,1990,SD,South Dakota,13.39,8.92,4.47,13.89,9.17,4.72,57.86,26.39,39.78,35.31,23.96,37.85,33.13
293,1990,TN,Tennessee,12.85,14.71,-1.86,13.92,10.95,2.97,34.87,19.86,32.71,34.57,27.14,41.06,38.09
294,1990,TX,Texas,7.32,15.75,-8.43,7.66,12.33,-4.67,26.18,25.04,32.36,40.79,29.99,37.65,42.32
295,1990,UT,Utah,10.6,9.18,1.42,10.8,10.22,0.58,37.1,28.77,39.37,37.95,28,38.8,38.22
296,1990,VT,Vermont,16.31,27.2,-10.89,16.85,19.04,-2.19,43.12,21.82,38.13,49.02,24.72,41.57,43.76
297,1990,VA,Virginia,15.63,25.13,-9.5,16.93,20.19,-3.26,38.09,21.19,36.82,46.32,25.54,42.47,45.73
298,1990,WA,Washington,6.94,8.72,-1.78,7.33,9.82,-2.49,36.68,30.52,37.46,39.24,29.31,36.64,39.13
299,1990,WV,West Virginia,9.16,13.87,-4.71,10.49,6.27,4.22,52.36,17.29,26.45,31.16,26.5,36.99,32.77
300,1990,WI,Wisconsin,21.08,11.95,9.13,21.47,11.96,9.51,31.74,26.17,47.25,38.12,25.18,46.65,37.14
301,1990,WY,Wyoming,13.79,9.28,4.51,13.96,8.46,5.5,63.56,22.85,36.64,32.13,23.15,37.11,31.61
302,2000,AL,Alabama,12.51,12.95,-0.44,12.72,10.31,2.41,34.11,21.47,33.98,34.42,27.67,40.39,37.98
303,2000,AK,Alaska,15.4,13.55,1.85,17.1,10.1,7,56.8,18.85,34.25,32.4,22.27,39.37,32.37
304,2000,AZ,Arizona,15.02,16.83,-1.81,15.69,9.71,5.98,39.59,19,34.02,35.83,25.78,41.47,35.49
305,2000,AR,Arkansas,10.46,2.02,8.44,12.76,-3.86,16.62,40.68,19.17,29.63,21.19,26.84,39.6,22.98
306,2000,CA,California,0.83,14.86,-14.03,0.86,12.97,-12.11,33.19,30.42,31.25,45.28,31.72,32.58,44.69
307,2000,CO,Colorado,9.51,19.2,-9.69,9.57,19.29,-9.72,44.33,28.68,38.19,47.88,27.77,37.34,47.06
308,2000,CT,Connecticut,19.1,21.47,-2.37,18.07,25.65,-7.58,41.58,33.04,52.14,54.51,24.5,42.57,50.15
309,2000,DE,Delaware,21.98,16.71,5.27,23.14,19.09,4.05,48.61,23.41,45.39,40.12,20.86,44,39.95
310,2000,FL,Florida,12.64,10.08,2.56,13.24,4.31,8.93,37.66,22.75,35.39,32.83,27.02,40.26,31.33
311,2000,GA,Georgia,15.52,23.52,-8,17.31,17.3,0.01,29.24,19.49,35.01,43.01,26.94,44.25,44.24
312,2000,HI,Hawaii,14.63,11.4,3.23,15.82,15.31,0.51,47.42,29.02,43.65,40.42,24.51,40.33,39.82
313,2000,ID,Idaho,14.39,8.94,5.45,13.3,6.3,7,52.67,22.9,37.29,31.84,25.03,38.33,31.33
314,2000,IL,Illinois,11.61,16.77,-5.16,12.16,21.45,-9.29,40.65,31.3,42.91,48.07,27.06,39.22,48.51
315,2000,IN,Indiana,14.89,11.03,3.86,15.84,10,5.84,37.17,23.84,38.73,34.87,26.12,41.96,36.12
316,2000,IA,Iowa,17.32,11.63,5.69,18.65,15.37,3.28,44.91,29.6,46.92,41.23,23.65,42.3,39.02
317,2000,KS,Kansas,11.26,12.86,-1.6,11.51,15.78,-4.27,49.73,29.39,40.65,42.25,26.28,37.79,42.06
318,2000,KY,Kentucky,12.31,8.9,3.41,14.14,5.25,8.89,33.09,21.53,33.84,30.43,27.31,41.45,32.56
319,2000,LA,Louisiana,18.17,14.08,4.09,19.52,9.8,9.72,33.07,18.53,36.7,32.61,25.55,45.07,35.35
320,2000,ME,Maine,15.29,22.34,-7.05,14.76,16.07,-1.31,40.02,23.61,38.9,45.95,26.18,40.94,42.25
321,2000,MD,Maryland,17.35,24.4,-7.05,17.67,20.04,-2.37,38.86,23.63,40.98,48.03,25.14,42.81,45.18
322,2000,MA,Massachusetts,10.76,27.92,-17.16,10.38,33.3,-22.92,39.39,36.54,47.3,64.46,27.91,38.29,61.21
323,2000,MI,Michigan,16,11.03,4.97,15.54,10.82,4.72,31.7,26.03,42.03,37.06,27.07,42.61,37.89
324,2000,MN,Minnesota,14.99,16.49,-1.5,16.57,20.97,-4.4,31,33.27,48.26,49.76,26.88,43.45,47.85
325,2000,MS,Mississippi,9.32,3.53,5.79,8.78,0.19,8.59,42.14,21.26,30.58,24.79,28.33,37.11,28.52
326,2000,MO,Missouri,17.55,11.45,6.1,18.03,9.57,8.46,36.63,23.82,41.37,35.27,25.39,43.42,34.96
327,2000,MT,Montana,12.42,5.9,6.52,12.32,5.03,7.29,55.68,24.92,37.34,30.82,25.19,37.51,30.22
328,2000,NE,Nebraska,11.62,5.16,6.46,10.99,11.53,-0.54,48.46,34.55,46.17,39.71,26.7,37.69,38.23
329,2000,NV,Nevada,11.1,2.79,8.31,10.15,-1.51,11.66,57.81,21.38,32.48,24.17,26.25,36.4,24.74
330,2000,NH,New Hampshire,15.97,20.94,-4.97,14.73,12.32,2.41,46.09,23.41,39.38,44.35,25.3,40.03,37.62
331,2000,NJ,New Jersey,12.16,13.44,-1.28,10.54,14.51,-3.97,42.61,32.99,45.15,46.43,27.51,38.05,42.02
332,2000,NM,New Mexico,14.75,20.06,-5.31,15.18,14.92,0.26,50.3,18.19,32.94,38.25,24.37,39.55,39.29
333,2000,NY,New York,12.34,16.39,-4.05,11.9,23.55,-11.65,41.9,35.32,47.66,51.71,27,38.9,50.55
334,2000,NC,North Carolina,14.43,16.9,-2.47,14.6,12.39,2.21,26.73,23.61,38.04,40.51,28.09,42.69,40.48
335,2000,ND,North Dakota,15.02,2.51,12.51,15.8,7.26,8.54,53.49,31.29,46.31,33.8,23.57,39.37,30.83
336,2000,OH,Ohio,14.39,12.64,1.75,14.44,12.8,1.64,34.64,25.98,40.37,38.62,27,41.44,39.8
337,2000,OK,Oklahoma,11.91,3.73,8.18,12.15,4.54,7.61,40.98,25.09,37,28.82,27.01,39.16,31.55
338,2000,OR,Oregon,13.88,12.92,0.96,13.65,9.02,4.63,39.65,22.73,36.61,35.65,26.59,40.24,35.61
339,2000,PA,Pennsylvania,20.8,15.28,5.52,21.13,15.8,5.33,33.27,27.81,48.61,43.09,24.96,46.09,40.76
340,2000,RI,Rhode Island,14.97,13.6,1.37,16.31,16.47,-0.16,44.96,30.19,45.16,43.79,24.7,41.01,41.17
341,2000,SC,South Carolina,16.21,12.7,3.51,17.01,6.92,10.09,32.72,20.02,36.23,32.72,26.45,43.46,33.37
342,2000,SD,South Dakota,17.29,9.08,8.21,18.63,11.09,7.54,54.19,28.83,46.12,37.91,21.96,40.59,33.05
343,2000,TN,Tennessee,13.76,14.15,-0.39,14.23,9.6,4.63,32.55,20.36,34.12,34.51,27.38,41.61,36.98
344,2000,TX,Texas,9.5,16.82,-7.32,10.6,13.18,-2.58,24.46,24.18,33.68,41,29.4,40,42.58
345,2000,UT,Utah,13.15,9.36,3.79,12.92,12.58,0.34,36.35,30.26,43.41,39.62,27.33,40.25,39.91
346,2000,VT,Vermont,22.09,28.04,-5.95,21.61,24.03,-2.42,41.24,22.12,44.21,50.16,23.21,44.82,47.24
347,2000,VA,Virginia,16.25,24.26,-8.01,16.33,20.9,-4.57,38.29,22.96,39.21,47.22,25.74,42.07,46.64
348,2000,WA,Washington,8.09,8.97,-0.88,8.47,11.1,-2.63,36.07,29.86,37.95,38.83,28.95,37.42,40.05
349,2000,WV,West Virginia,12.54,9.13,3.41,15.95,4.1,11.85,47.63,18.85,31.39,27.98,24.43,40.38,28.53
350,2000,WI,Wisconsin,19.51,5.97,13.54,21.01,9.15,11.86,31.17,29.85,49.36,35.82,25.45,46.46,34.6
351,2000,WY,Wyoming,11.21,2.15,9.06,11.46,3.63,7.83,65.01,28.03,39.24,30.18,24.71,36.17,28.34
352,2010,AL,Alabama,17.7,9.81,7.89,17.17,7.61,9.56,30.55,20.52,38.22,30.33,26.75,43.92,34.36
353,2010,AK,Alaska,13.41,10.36,3.05,13.77,12.74,1.03,73.3,20.85,34.26,31.21,22,35.77,34.74
354,2010,AZ,Arizona,15.68,16.13,-0.45,18.7,8.93,9.77,35.94,18.36,34.04,34.49,25.29,43.99,34.22
355,2010,AR,Arkansas,10.56,2.2,8.36,12.16,-0.83,12.99,35.56,21.54,32.1,23.74,27.68,39.84,26.85
356,2010,CA,California,1.93,20.47,-18.54,2.08,17.4,-15.32,33.04,30.09,32.02,50.56,31.31,33.39,48.71
357,2010,CO,Colorado,12.25,19.98,-7.73,10.88,21.7,-10.82,45.9,29.72,41.97,49.7,27.01,37.89,48.71
358,2010,CT,Connecticut,17.17,21.79,-4.62,15.61,25.25,-9.64,43.96,35.32,52.49,57.11,25.14,40.75,50.39
359,2010,DE,Delaware,25.22,14.06,11.16,21.83,12.53,9.3,47.51,23.31,48.53,37.37,21.63,43.46,34.16
360,2010,FL,Florida,13.19,10.03,3.16,13.4,2.91,10.49,35.88,21.37,34.56,31.4,27.19,40.59,30.1
361,2010,GA,Georgia,16.54,19.87,-3.33,18.27,14.51,3.76,28.18,20.69,37.23,40.56,26.85,45.12,41.36
362,2010,HI,Hawaii,12.57,12.23,0.34,9.95,13.27,-3.32,48.86,27.91,40.48,40.14,27.15,37.1,40.42
