subject_id,loc_plot_state1,loc_plot_city1,date_exposure,plot_target1,attack_preparation,op_security,anticp_fatals_targ,extent_plot,violent,criminal_severity,criminal_charges,indict_arrest,group_membership,terrorist_group_name1,actively_recruited,recruiter1,role_group,length_group,clique,clique_radicalize,clique_connect,internet_radicalization,social_media,social_media_frequency,social_media_platform1,social_media_activities1,radicalization_islamist,radicalization_far_right,radicalization_far_left,radicalization_single_issue,ideological_sub_category1,loc_habitation_state1,loc_habitation_city1,external_rad,radical_behaviors,radical_beliefs,us_govt_leader,foreign_govt_leader,event_influence1,radicalization_sequence,prison_radicalize,broad_ethnicity,age,marital_status,children,gender,convert,convert_date,citizenship,residency_status,nativity,time_us_months,immigrant_generation,immigrant_source,language_english,diaspora_ties,education,student,education_change,employment_status,work_history,military,foreign_military,social_stratum_adulthood,abuse_child,abuse_adult,abuse_type1,psychological,alcohol_drug,radical_friend,previous_criminal_activity,previous_criminal_activity_type1,previous_criminal_activity_age,gang,gang_age_joined,other_ideologies,angry_us,group_grievance,year,month
4679,Nevada,Reno,9/21/04,14,0,1,0,1,1,8,2,4,3,Aryan Nations,0,-88,3,,,,,,-88,-88,-88,-88,0,1,0,0,2,Nevada,,,5,5,,,,,-88,3,40,,,2,0,-88,United States of America,1,United States of America,480,0,,,,,,,,,,,,0,0,-88,0,1,,0,-88,-88,0,-88,0,1,3,2004,9
4683,New York,Brooklyn,1/10/03,-88,-88,-88,-88,0,0,5,2,4,2,al-Qaeda core,,,2,,1,1,1,,-88,-88,-88,-88,1,0,0,0,11,New York,Brooklyn,1,6,4,1,1,,1,,4,31,,,2,,,,,Yemen,,,Yemen,,2,,0,-88,1,4,,,2,0,0,-88,0,0,2,,,,0,-88,0,1,1,2003,1
4688,Texas,Richardson,12/4/01,-88,-88,-88,-88,0,0,5,2,4,1,Hamas,0,-88,2,120,1,1,0,0,-88,-88,-88,-88,1,0,0,0,11,Texas,Richardson,0,8,4,0,0,,1,-88,4,46,2,3,2,0,-88,United States of America,2,Gaza Strip,420,1,Gaza Strip,,1,,0,-88,2,4,0,0,2,0,0,-88,0,0,2,0,-88,-88,0,-88,0,1,2,2001,12
4691,Louisiana,Lafayette,10/13/04,-88,-88,-88,-88,0,0,1,2,4,0,al-Qaeda core,,,-88,-88,0,-88,-88,,-88,-88,-88,-88,1,0,0,0,11,Louisiana,,,6,1,,,,1,-88,4,47,,,2,,,United States of America,,,312,,,,,,0,-88,,,0,0,,0,0,-88,0,0,2,0,-88,-88,0,-88,0,1,,2004,10
4692,Wisconsin,,1/1/97,-88,-88,-88,-88,0,0,3,2,4,1,Animal Liberation Front (ALF),0,-88,2,,1,0,,2,-88,-88,-88,-88,0,0,1,0,6,Washington,Mercer Island,0,9,5,0,0,0,1,-88,3,27,1,0,2,0,-88,United States of America,1,United States of America,336,0,-88,-88,,4,0,-88,,,0,0,1,0,0,-88,0,0,1,0,-88,-88,0,-88,0,0,2,1997,1
4703,Pennsylvania,,5/1/85,-88,-88,-88,-88,0,1,10,2,3,3,May 19th Communist Order,,,2,,0,-88,-88,-88,-88,-88,-88,-88,0,0,1,0,7,Pennsylvania,,0,10,5,1,0,,,-88,3,45,,,1,0,-88,United States of America,1,United States of America,540,0,-88,-88,-88,,,,,,0,0,,0,0,-88,0,0,3,0,-88,-88,0,-88,0,1,3,1985,5
4705,New York,Nanuet,10/20/81,1,,,,4,1,10,2,4,3,Black Liberation Army,,,3,,1,,1,-88,-88,-88,-88,-88,0,0,1,0,8,New York,,,10,4,,,,,,2,37,,8,2,0,-88,United States of America,1,United States of America,,0,,,,,,,,,,,1,0,0,-88,0,0,3,3,3,1,0,-88,0,,3,1981,10
4706,New York,Queens,4/16/81,1,,,1,5,1,10,2,4,3,Black Liberation Army,,,2,,,,,-88,-88,-88,-88,-88,0,0,1,0,8,New York,,0,10,5,0,0,0,1,,2,32,,,2,0,-88,United States of America,1,United States of America,276,0,-88,-88,-88,,,,,,0,0,,0,0,-88,0,0,3,3,3,,0,-88,0,1,3,1981,4
4707,New York,Nanuet,10/20/81,1,2,2,1,5,1,10,2,4,3,Black Liberation Army,,,2,,0,-88,-88,-88,-88,-88,-88,-88,0,0,1,0,8,New York,New York,1,10,5,1,0,0,1,0,2,37,,,2,0,-88,United States of America,1,United States of America,444,0,-88,-88,-88,,0,-88,,1,4,0,1,0,1,3,0,0,3,3,3,3,0,-88,0,1,3,1981,10
4712,New York,New York,12/1/84,-88,-88,-88,-88,0,1,10,2,4,3,Weather Underground,,,,,,,,-88,-88,-88,-88,-88,0,0,1,0,7,New York,,0,10,,1,,,,,,29,,,1,0,-88,United States of America,1,United States of America,312,0,-88,-88,-88,7,,,,,,,,0,0,-88,0,0,1,0,-88,-88,0,-88,0,1,,1984,12
4714,District of Columbia,Washington,11/7/83,2,2,,3,5,1,10,2,4,2,-88,,,2,,,,,-88,-88,-88,-88,-88,0,0,1,0,9,New York,New York,,10,5,,,2,3,0,3,35,2,2,2,0,-88,United States of America,1,United States of America,492,0,-88,-88,-88,11,0,-88,1,4,0,0,3,0,0,-88,0,0,1,0,-88,-88,0,-88,0,,,1983,11
4715,New York,New York,1/21/84,-88,-88,-88,-88,0,0,1,1,2,3,Armed Forces of National Liberation (FALN),,,2,,,,,-88,-88,-88,-88,-88,0,0,0,1,12,New York,New York,,7,1,1,,,1,,3,37,,,1,0,-88,United States of America,1,United States of America,344,0,-88,-88,-88,,0,-88,1,4,,0,2,0,0,-88,0,0,3,,,,0,-88,0,1,1,1984,1
4716,New York,,1/1/82,-88,-88,-88,-88,0,1,10,2,4,3,May 19th Communist Order,,,,,,,,-88,-88,-88,-88,-88,0,0,1,0,8,Wisconsin,,,10,5,1,,2,1,,3,34,,,1,0,-88,Italy,3,Italy,396,1,Italy,1,,5,,,,,,,,0,0,-88,0,0,,,,,0,-88,0,1,,1982,1
4743,Oklahoma,,4/19/95,-88,-88,-88,-88,0,1,5,2,4,2,Sovereign Citizens,0,-88,1,72,1,,0,,-88,-88,-88,-88,0,1,0,0,4,Michigan,,0,10,3,1,0,8,1,,3,42,3,1,2,0,-88,United States of America,1,United States of America,816,0,-88,-88,-88,,0,-88,2,4,0,0,2,0,0,-88,0,0,3,,,,0,-88,1,1,0,1995,4
4744,Virginia,Pulaski,4/27/95,-88,-88,-88,-88,0,0,5,2,4,2,-88,,,2,,0,-88,-88,,-88,-88,-88,-88,0,1,0,0,1,Virginia,,0,9,4,,,,,-88,3,35,,,2,0,-88,United States of America,1,United States of America,420,0,-88,-88,-88,,,,,,,,,0,0,-88,0,0,,,,,0,-88,0,,,1995,4
4745,Virginia,New River Valley,7/31/94,-88,-88,-88,-88,0,0,5,2,4,2,-88,0,-88,3,5,1,0,0,,-88,-88,-88,-88,0,1,0,0,1,Virginia,,,9,5,1,0,,1,-88,3,40,1,0,2,0,-88,United States of America,1,United States of America,480,0,-88,-88,-88,,,,1,3,1,0,2,0,0,-88,0,0,1,0,-88,-88,0,-88,0,1,0,1994,7
4752,,,1/1/86,-88,-88,-88,-88,0,1,0,-88,-88,3,Ku Klux Klan,1,1,2,36,1,0,,-88,-88,-88,-88,-88,0,1,0,0,2,Virginia,Leesburg,0,10,4,,,0,,,3,37,,,2,0,-88,United States of America,1,United States of America,444,0,-88,-88,-88,3,0,-88,,,1,0,,0,0,-88,0,0,3,,,,0,-88,0,,,1986,1
4757,New York,New York,8/17/89,-88,-88,-88,-88,0,1,10,2,2,3,Jewish Defense League (JDL),,,3,,0,-88,-88,-88,-88,-88,-88,-88,0,0,0,1,18,New York,New York,,10,,,,,,,3,27,1,0,2,0,-88,United States of America,1,United States of America,,0,,,,,,,,,,,,0,0,-88,0,0,,,,,0,-88,0,,,1989,8
4761,New York,New York,4/1/87,7,,,2,5,1,10,2,4,3,Jewish Defense League (JDL),,,3,,1,,1,-88,-88,-88,-88,-88,0,0,0,1,16,New York,East Meadow,0,10,5,,,,,,3,59,,,2,0,-88,United States of America,1,United States of America,708,0,-88,-88,-88,,,,,,,,,0,0,-88,0,0,3,,,,0,-88,0,,,1987,4
4764,New York,New York,9/1/86,14,2,1,2,5,1,10,2,4,3,Jewish Defense League (JDL),,,2,144,0,-88,-88,-88,-88,-88,-88,-88,0,0,0,1,16,New York,New York,0,10,5,,,,1,,3,22,,,2,0,-88,United States of America,1,United States of America,264,0,-88,-88,-88,,,,,,,,,0,0,-88,0,0,3,,,,0,-88,0,,2,1986,9
4794,Connecticut,West Hartford,9/12/83,1,,,,5,1,10,2,4,3,Los Macheteros,,,3,,,,,-88,-88,-88,-88,-88,0,0,0,1,12,Puerto Rico,,0,10,5,1,0,,2,,1,59,2,,2,0,-88,United States of America,1,United States of America,708,0,-88,-88,-88,,0,-88,,,,,,0,0,-88,0,0,3,,,,0,-88,0,1,3,1983,9
4795,Puerto Rico,Vieques,6/6/01,-88,-88,-88,-88,0,0,2,,2,1,-88,0,-88,3,360,0,-88,-88,,-88,-88,-88,-88,0,0,0,1,12,Puerto Rico,San Juan,,3,5,1,0,8,1,,1,73,2,5,2,0,-88,United States of America,1,United States of America,684,0,-88,-88,-88,11,1,,5,-88,0,0,,0,0,-88,0,0,,,,,0,-88,0,1,2,2001,6
4820,,,1/1/81,-88,-88,-88,-88,0,0,0,,,2,-88,,,,,,,,-88,-88,-88,-88,-88,0,0,0,1,12,,,,1,2,,,,,,1,,,,2,0,-88,United States of America,1,United States of America,,0,-88,-88,-88,,,,,,,,,0,0,-88,0,0,,,,,0,-88,0,,,1981,1
4846,New York,,1/1/81,-88,-88,-88,-88,0,0,5,,4,3,Armed Forces of National Liberation (FALN),,,3,,,,,-88,-88,-88,-88,-88,0,0,0,1,12,,,0,9,4,,,,,,1,73,,,2,0,-88,United States of America,1,United States of America,,0,-88,-88,-88,,,,,,,,,0,0,-88,0,0,,,,,0,-88,0,,,1981,1
4975,New York,New York,10/21/83,-88,-88,-88,-88,0,0,1,2,4,3,Armed Forces of National Liberation (FALN),,,2,,,,,-88,-88,-88,-88,-88,0,0,0,1,12,New York,,,,,1,,,,,3,28,,,2,0,-88,United States of America,1,United States of America,,0,-88,,,,,,,,,,,0,0,-88,0,0,,,,,0,-88,0,1,,1983,10
4976,New York,Brooklyn,12/6/81,-88,-88,-88,-88,0,0,1,1,3,3,Armed Forces of National Liberation (FALN),,,,,,,,-88,-88,-88,-88,-88,0,0,0,1,12,New York,New York,,1,0,1,0,,,,1,43,,,2,0,-88,,,,,,,,,,,,,,,,,0,0,-88,0,0,,,,,0,-88,0,1,3,1981,12
