subject_id,loc_habit1_lat,loc_habit1_long
1000,26.1223084,-80.1433786
1001,37.7790262,-122.4199061
1002,33.7494951,-117.8732213
1006,40.7281575,-74.0776417
1013,42.81909025,-78.833717479075
1014,42.81909025,-78.833717479075
1015,42.8867166,-78.8783922
1016,42.81909025,-78.833717479075
1017,42.81909025,-78.833717479075
1019,39.9622601,-83.0007065
1020,38.8462236,-77.3063733
1021,38.8949924,-77.0365581
1024,38.8051095,-77.0470229
1025,40.1842688,-75.5379639
1029,38.882334,-77.1710914
1031,38.882334,-77.1710914
1035,40.7127281,-74.0060152
1036,40.7127281,-74.0060152
1046,41.6529143,-83.5378173
1048,33.7489924,-84.3902644
1049,34.02332,-84.360022
1050,25.8900949,-80.1867138
1051,25.7741728,-80.19362
1054,25.7741728,-80.19362
1055,25.7741728,-80.19362
1058,39.9348351,-75.0307264
1063,40.6501038,-73.9495823
1074,41.8755616,-87.6244212
1079,38.882334,-77.1710914
1080,47.1086912,-122.5549795
1081,45.5202471,-122.6741949
1082,45.5202471,-122.6741949
1083,45.5202471,-122.6741949
1084,45.5202471,-122.6741949
1085,45.5202471,-122.6741949
1087,45.5202471,-122.6741949
1089,33.4484367,-112.0741417
1091,42.3317642,-71.1211635
1093,29.7589382,-95.3676974
1094,40.7127281,-74.0060152
1095,40.7127281,-74.0060152
1096,26.3586885,-80.0830984
1097,41.504879,-73.9696822
1099,32.7762719,-96.7968559
1100,32.7762719,-96.7968559
1101,32.7762719,-96.7968559
1103,32.7762719,-96.7968559
1104,40.9167654,-74.171811
1105,42.3315509,-83.0466403
1106,40.7127281,-74.0060152
1110,39.8454163,-88.9524151
1111,42.3834278,-71.4161725
1112,44.9772995,-93.2654692
1114,45.1004807,-93.3443585
1115,44.9772995,-93.2654692
1116,44.9772995,-93.2654692
1117,44.9772995,-93.2654692
1118,44.9772995,-93.2654692
1119,44.9772995,-93.2654692
1121,44.9772995,-93.2654692
1123,44.9772995,-93.2654692
1124,44.9772995,-93.2654692
1126,44.9772995,-93.2654692
1127,41.8755616,-87.6244212
1129,44.9772995,-93.2654692
1130,30.6035255,-87.9036047
