subject_id,loc_plot_state1,loc_plot_city1,loc_plot_state2,loc_plot_city2,date_exposure,plot_target1,plot_target2,plot_target3,attack_preparation,op_security,anticp_fatals_targ,extent_plot,violent,criminal_severity,criminal_charges,indict_arrest,group_membership,terrorist_group_name1,terrorist_group_name2,terrorist_group_name3,actively_recruited,recruiter1,recruiter2,recruiter3,actively_connect,role_group,length_group,clique,clique_radicalize,clique_connect,internet_radicalization,media_radicalization,social_media,social_media_frequency,social_media_platform1,social_media_platform2,social_media_platform3,social_media_platform4,social_media_platform5,social_media_activities1,social_media_activities2,social_media_activities3,social_media_activities4,social_media_activities5,social_media_activities6,social_media_activities7,radicalization_islamist,radicalization_far_right,radicalization_far_left,radicalization_single_issue,ideological_sub_category1,ideological_sub_category2,ideological_sub_category3,loc_habitation_state1,loc_habitation_city1,loc_habitation_state2,loc_habitation_city2,external_rad,rad_duration,radical_behaviors,radical_beliefs,us_govt_leader,foreign_govt_leader,event_influence1,event_influence2,event_influence3,event_influence4,beliefs_trajectory,behaviors_trajectory,radicalization_sequence,radicalization_place,prison_radicalize,broad_ethnicity,age,marital_status,children,gender,religious_background,convert,convert_date,reawakening,reawakening_date,citizenship,residency_status,nativity,time_us_months,immigrant_generation,immigrant_source,language_english,diaspora_ties,education,student,education_change,employment_status,change_performance,work_history,military,foreign_military,social_stratum_childhood,social_stratum_adulthood,aspirations,abuse_child,abuse_adult,abuse_type1,abuse_type2,abuse_type3,psychological,alcohol_drug,absent_parent,overseas_family,close_family,family_religiosity,family_ideology,family_ideological_level,prison_family_friend,crime_family_friend,radical_friend,radical_family,radical_signif_other,relationship_troubles,platonic_troubles,unstructured_time,friendship_source1,friendship_source2,friendship_source3,kicked_out,previous_criminal_activity,previous_criminal_activity_type1,previous_criminal_activity_type2,previous_criminal_activity_type3,previous_criminal_activity_age,gang,gang_age_joined,trauma,other_ideologies,angry_us,group_grievance,standing,year,month
1018,New York,Lackawanna,,,2002-09-13,-88.0,,,-88.0,-88.0,-88.0,0.0,1,5.0,2.0,4.0,3.0,al-Qaeda core,,,1.0,4.0,,,2.0,2.0,24.0,1.0,1.0,1.0,0.0,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,New York,,,,0.0,,8.0,3.0,,,,,,,,,1,1,-88.0,4.0,24.0,1.0,1.0,2,1.0,0.0,-88,,,United States of America,1.0,United States of America,288.0,,Yemen,,,3.0,1.0,,1.0,,4.0,0.0,0.0,1.0,1.0,,0,0,-88.0,,,0,0,2.0,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,-88.0,,,-88.0,0.0,-88.0,,0.0,,,,2002,9
1019,New York,New York,,,2003-06-20,14.0,19.0,,1.0,2.0,2.0,1.0,1,5.0,2.0,4.0,3.0,al-Qaeda core,,,1.0,3.0,,,1.0,1.0,36.0,,,,1.0,,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,Ohio,Columbus,,,1.0,3.0,7.0,2.0,,,,,,,1.0,1.0,1,,,6.0,34.0,3.0,0.0,2,1.0,0.0,-88,,,United States of America,2.0,Pakistan,108.0,1.0,Pakistan,,,,,,2.0,,4.0,,,,2.0,,0,0,-88.0,,,1,0,,,,,,,,,2.0,0.0,0.0,1.0,,0.0,,,,,,,,,,0.0,-88.0,,0.0,0.0,,,2003,6
1020,Virginia,Fairfax,,,2004-11-23,-88.0,,,-88.0,-88.0,-88.0,0.0,0,4.0,2.0,4.0,2.0,Taliban,Lashkar-e Tayyiba (LeT),,0.0,-88.0,,,0.0,3.0,,1.0,0.0,1.0,0.0,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,Virginia,Fairfax,,,1.0,3.0,3.0,5.0,0.0,0.0,1.0,,,,1.0,2.0,1,1,-88.0,4.0,41.0,2.0,,2,1.0,0.0,-88,1.0,,United States of America,1.0,United States of America,492.0,2.0,Iraq,-88.0,,11.0,1.0,,1.0,,4.0,0.0,0.0,3.0,2.0,,0,0,-88.0,,,0,0,0.0,0.0,,,,,0.0,0.0,2.0,,,0.0,0.0,0.0,4.0,,,0.0,0.0,-88.0,,,-88.0,0.0,-88.0,0.0,0.0,1.0,2.0,0.0,2004,11
1021,Virginia,Alexandria,,,2003-06-01,-88.0,,,-88.0,-88.0,-88.0,0.0,1,7.0,2.0,4.0,3.0,Lashkar-e Tayyiba (LeT),,,1.0,4.0,,,1.0,2.0,36.0,1.0,1.0,1.0,,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,District of Columbia,Washington,,,1.0,3.0,8.0,5.0,1.0,1.0,1.0,,,,1.0,1.0,3,,-88.0,3.0,30.0,2.0,4.0,2,,1.0,1992-06-01 00:00:00,0.0,-88,United States of America,1.0,United States of America,360.0,0.0,-88,-88.0,-88.0,5.0,1.0,,1.0,,4.0,0.0,0.0,2.0,3.0,,0,0,-88.0,,,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,0.0,-88.0,,,-88.0,0.0,-88.0,,0.0,1.0,1.0,,2003,6
1022,Virginia,Alexandria,,,2003-06-27,-88.0,,,-88.0,-88.0,-88.0,0.0,1,7.0,2.0,4.0,3.0,Lashkar-e Tayyiba (LeT),,,1.0,4.0,,,1.0,3.0,22.0,1.0,1.0,1.0,,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,Virginia,,,,1.0,2.0,8.0,5.0,0.0,0.0,1.0,,,,1.0,1.0,,2,-88.0,4.0,26.0,1.0,0.0,2,1.0,0.0,-88,0.0,-88,Yemen,4.0,Yemen,120.0,1.0,Yemen,,2.0,,0.0,-88.0,,,,0.0,0.0,3.0,2.0,,0,0,-88.0,,,0,0,,1.0,,,,,,,2.0,0.0,0.0,,,,,,,,0.0,-88.0,,,-88.0,0.0,-88.0,,0.0,1.0,1.0,,2003,6
1023,Virginia,Alexandria,,,2003-06-01,-88.0,,,-88.0,-88.0,-88.0,0.0,1,7.0,2.0,4.0,3.0,Lashkar-e Tayyiba (LeT),,,1.0,4.0,,,1.0,2.0,21.0,1.0,1.0,1.0,,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,Virginia,,,,1.0,2.0,8.0,5.0,1.0,1.0,1.0,,,,1.0,2.0,1,1,,6.0,26.0,1.0,,2,11.0,1.0,1997-01-01 00:00:00,0.0,-88,United States of America; South Korea,2.0,South Korea,,1.0,South Korea,,,5.0,0.0,-88.0,,,,0.0,0.0,,2.0,,0,0,-88.0,,,0,0,,,,,,,,,2.0,0.0,0.0,,,,4.0,,,,1.0,20.0,,,2.0,0.0,-88.0,,1.0,1.0,3.0,,2003,6
1024,Virginia,Alexandria,,,2003-06-01,-88.0,,,-88.0,-88.0,-88.0,0.0,1,7.0,2.0,4.0,3.0,Lashkar-e Tayyiba (LeT),,,1.0,4.0,,,1.0,2.0,21.0,1.0,1.0,1.0,,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,Virginia,Alexandria,,,1.0,2.0,8.0,5.0,1.0,1.0,1.0,,,,2.0,2.0,,1,-88.0,4.0,26.0,3.0,,2,1.0,0.0,-88,,,United States of America; Pakistan,2.0,Pakistan,156.0,1.0,Pakistan,,,9.0,0.0,-88.0,1.0,0.0,,0.0,0.0,,,,0,0,-88.0,,,0,0,,1.0,,,,,,,2.0,0.0,0.0,1.0,,,4.0,,,,,,,,,0.0,-88.0,,0.0,1.0,3.0,,2003,6
1025,Virginia,Alexandria,,,2003-06-01,-88.0,,,-88.0,-88.0,-88.0,0.0,1,7.0,2.0,4.0,3.0,Lashkar-e Tayyiba (LeT),,,1.0,4.0,,,1.0,2.0,21.0,1.0,1.0,1.0,,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,Pennsylvania,Royersford,Pennsylvania,Norristown,1.0,2.0,8.0,5.0,1.0,1.0,1.0,,,,2.0,2.0,,1,-88.0,4.0,30.0,2.0,2.0,2,1.0,0.0,-88,,,Pakistan,4.0,Pakistan,,1.0,Pakistan,,,9.0,0.0,-88.0,1.0,0.0,4.0,0.0,0.0,,2.0,,0,0,-88.0,,,0,0,,1.0,,,,,,,2.0,0.0,0.0,0.0,,,4.0,,,,,,,,,0.0,-88.0,,0.0,1.0,3.0,,2003,6
1026,Virginia,Alexandria,,,2003-06-01,-88.0,,,-88.0,-88.0,-88.0,0.0,0,5.0,2.0,4.0,3.0,Lashkar-e Tayyiba (LeT),,,,,,,1.0,2.0,26.0,1.0,1.0,1.0,,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,Maryland,,,,0.0,,10.0,5.0,1.0,1.0,1.0,,,,2.0,2.0,1,2,-88.0,,30.0,,,2,,1.0,,,,United States of America,1.0,United States of America,360.0,0.0,-88,-88.0,-88.0,,0.0,-88.0,,,,1.0,0.0,,,,0,0,-88.0,,,0,0,,,,,,,,,2.0,0.0,0.0,,,,4.0,,,,0.0,-88.0,,,-88.0,0.0,-88.0,,0.0,1.0,2.0,,2003,6
1027,Virginia,Alexandria,,,2003-07-28,-88.0,,,-88.0,-88.0,-88.0,0.0,1,7.0,2.0,4.0,3.0,Lashkar-e Tayyiba (LeT),,,1.0,4.0,,,1.0,3.0,,1.0,1.0,1.0,,1.0,-88.0,-88.0,-88.0,,,,,-88.0,,,,,,,1,0,0,0,11,,,Virginia,,,,1.0,2.0,10.0,4.0,1.0,0.0,1.0,,,,1.0,1.0,,2,-88.0,6.0,31.0,2.0,1.0,2,1.0,0.0,-88,,,United States of America,1.0,United States of America,372.0,0.0,-88,-88.0,2.0,5.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,,2.0,0.0,0,0,-88.0,,,0,0,0.0,1.0,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,-88.0,,,-88.0,0.0,-88.0,,0.0,1.0,1.0,0.0,2003,7
